Gender,Height(inches),Weight(lbs)
1,67,150
0,67,140
1,67,100
1,62,185
0,66,145
1,62,140
0,69,183
1,68,140
0,71,175
0,66,108
1,64,123
0,66,215
0,62,128
1,59,91
0,73,198
1,59,175
0,67,145
0,64,118
0,71,150
0,71,125
0,69,180
1,59,94
0,74,160
1,63,190
0,65,145
0,69,160
1,66,130
1,63,120
0,65,125
1,68,124
1,64,135
1,64,98
0,66,150
1,67,160
1,67,140
0,71,170
1,60,109
0,68,170
1,63,165
0,67,147
1,63,110
0,68,160
1,60,125
1,66,142
1,65,154
1,62,119
0,65,135
0,69,195
1,63,110
1,63,140
1,64,219
1,66,135
0,66,140
0,68,135
1,68,-1
0,64,100
1,62,135
0,74,200
1,63,150
0,69,163
0,71,116
0,68,145
0,71,140
0,68,125
1,66,130
0,72,157
0,68,200
1,61,110
0,64,165
0,70,115
0,67,153
0,65,135
1,62,116
1,63,122
0,66,130
0,73,180
1,66,110
0,69,190
0,68,160
1,62,115
0,66,130
1,64,110
0,70,150
0,72,185
0,70,175
0,66,200
1,68,180
0,62,135
0,63,120
1,63,134
0,72,185
0,72,160
0,68,160
1,65,143
1,68,180
1,65,130
1,65,200
1,65,195
0,66,160
0,70,195
1,63,120
0,69,120
1,64,110
1,67,140
1,66,104
1,63,125
0,71,140
1,68,190
1,65,125
0,66,125
0,64,125
0,72,245
0,74,235
1,62,130
0,68,135
1,62,120
1,63,155
1,65,130
1,64,130
0,74,200
0,70,145
0,68,140
0,69,135
1,61,124
1,66,125
0,76,216
1,66,120
1,62,103
1,65,162
0,69,165
0,73,164
0,70,153
0,75,172
1,58,103
1,63,135
1,68,160
0,69,141
1,67,145
0,68,148
1,67,180
0,70,150
0,70,160
1,60,170
0,70,210
1,66,175
1,64,130
0,72,172
1,64,108
0,72,190
1,66,142
0,69,235
0,72,145
1,66,-2
1,70,-2
1,64,110
0,70,196
1,65,118
0,72,200
1,61,145
1,63,110
1,65,115
0,70,170
1,66,160
1,62,123
1,65,135
0,68,140
0,65,160
1,60,150
0,72,168
1,61,100
1,62,100
0,66,135
0,67,155
1,62,135
1,64,200
0,66,140
1,62,185
0,65,125
0,72,165
1,64,95
0,72,155
1,65,110
1,67,165
1,65,132
0,66,125
1,64,120
1,63,130
0,66,130
0,63,115
1,59,160
0,64,150
1,64,130
1,61,120
0,66,150
1,66,250
0,71,150
0,70,180
0,69,210
1,61,105
0,64,140
0,63,130
1,64,130
0,71,210
1,63,132
1,67,-2
0,70,125
1,66,110
0,65,125
0,67,167
0,67,140
0,69,130
1,65,122
1,64,113
1,60,108
0,66,120
1,60,130
0,70,180
1,60,105
1,61,120
0,69,170
1,65,122
0,67,145
1,69,132
0,70,155
0,70,160
1,67,105
0,64,120
1,61,102
1,61,110
0,71,140
1,70,140
0,71,-2
0,68,-2
0,72,130
0,71,155
0,72,190
0,68,130
0,73,140
0,66,140
0,69,136
0,67,130
1,67,135
1,65,131
0,69,142
1,64,120
1,67,-2
1,63,117
1,59,210
1,66,130
0,66,-2
1,63,90
0,65,120
0,72,170
0,71,160
0,71,165
0,67,135
0,66,120
0,65,110
1,64,135
0,72,-2
1,63,140
0,69,180
1,64,-1
1,61,-1
1,62,110
1,67,-2
1,67,-1
1,64,120
0,72,180
1,60,-1
1,61,110
0,65,150
1,65,150
1,64,105
1,63,120
1,64,140
1,68,155
0,70,180
1,59,110
1,69,-1
1,63,125
0,66,160
1,66,-1
1,63,125
0,64,150
1,65,135
1,68,135
0,74,180
1,64,116
0,66,160
1,65,140
0,68,130
1,66,165
0,73,195
1,60,90
0,74,160
0,75,200
0,64,135
1,64,115
1,62,113
0,65,113
0,72,150
1,62,120
0,62,110
1,63,98
1,66,113
1,68,-2
0,69,145
0,72,132
1,62,112
1,62,115
0,64,125
0,65,125
0,70,200
0,60,-2
0,63,112
0,63,110
0,67,142
0,66,130
0,64,140
0,69,150
0,68,160
1,66,140
1,62,174
1,63,117
0,72,225
0,70,145
1,59,120
0,67,135
0,78,260
1,64,175
1,64,128
1,60,120
1,63,117
1,65,160
0,66,150
1,65,170
0,65,-2
0,71,175
1,66,148
0,70,124
1,65,-2
1,64,280
0,73,245
1,66,101
0,72,154
0,69,160
1,59,120
0,68,210
0,68,154
0,72,195
1,62,106
1,67,140
1,67,135
1,66,150
0,67,139
0,67,160
0,67,155
0,66,145
0,62,140
0,69,150
0,70,130
0,69,153
0,74,180
1,68,125
0,70,135
1,66,125
1,70,178
0,72,160
0,76,165
1,65,130
1,63,120
0,70,175
1,69,195
0,65,157
1,66,160
0,74,165
0,72,320
1,66,-1
1,68,140
1,60,104
1,65,130
0,69,150
0,73,155
0,71,175
0,70,175
0,66,135
1,68,-2
1,65,116
1,66,145
1,63,140
0,63,142
1,53,98
0,66,265
0,66,164
1,63,160
0,71,175
1,62,118
0,76,155
1,65,150
1,71,165
0,74,180
1,66,165
0,64,160
0,66,210
1,64,145
0,67,165
1,67,160
0,63,160
1,62,143
1,56,136
1,62,125
1,63,130
0,68,150
1,65,140
1,63,190
0,73,175
0,71,170
0,70,176
0,69,170
0,67,160
1,68,103
1,60,110
1,60,102
1,62,125
0,62,110
1,65,126
1,59,-2
0,67,126
1,61,130
1,61,104
1,66,104
0,69,180
1,60,150
1,61,120
1,62,101
0,68,147
0,71,155
1,60,120
1,62,120
1,65,155
1,65,135
0,70,187
0,71,235
0,68,140
1,60,100
0,66,147
1,65,170
0,68,199
1,71,135
1,63,125
0,73,280
0,70,180
1,62,103
1,68,127
0,75,164
0,65,120
1,64,110
1,67,125
1,60,108
0,69,260
0,68,220
0,72,230
1,66,120
0,73,161
0,71,145
1,62,100
0,67,232
1,66,115
0,69,135
0,67,160
1,60,170
0,66,142
1,62,103
0,68,120
0,70,170
1,59,110
1,62,-2
0,66,170
0,64,140
0,70,130
1,64,160
0,67,130
0,69,175
0,68,150
0,68,160
1,62,130
1,66,135
1,66,135
1,64,120
1,63,138
1,63,100
0,73,185
0,74,220
1,69,-1
1,63,110
1,65,135
1,67,130
0,72,165
0,73,185
0,70,170
0,70,130
0,76,210
1,63,100
0,71,165
0,64,110
0,67,160
0,70,150
0,69,130
1,61,135
1,59,104
0,74,150
1,67,115
1,68,135
0,71,170
1,64,110
0,68,130
0,72,146
0,67,145
1,62,104
0,65,115
0,66,125
0,66,170
0,75,210
1,64,104
1,63,110
0,67,140
0,69,160
0,70,140
0,69,150
1,66,130
0,66,135
0,72,220
1,67,194
1,69,130
1,65,165
1,65,120
0,71,290
1,66,140
0,73,185
0,69,145
0,70,179
1,63,125
1,62,140
1,64,181
1,64,178
1,59,95
1,68,120
1,68,118
0,70,160
1,63,124
0,68,152
0,67,170
1,62,145
1,60,160
0,78,155
1,64,120
0,73,147
1,68,170
1,67,125
0,67,133
0,74,180
0,73,210
1,65,148
1,65,117
0,68,135
1,64,120
0,67,170
0,68,155
